epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.812,0.64915,0.91128,0.99844,0.0094,0.70769,0.00854,0.00194,3.3129,115.93,11.2594,0.0706818,0.00325758,0.00325758
2,260.917,0.74286,0.63974,1.03027,0.08399,1,0.4822,0.24485,1.64334,26.715,3.07897,0.0406166,0.00652566,0.00652566
3,555.11,0.75437,0.59923,1.02116,0.00663,0.96923,0.00661,0.00371,1.48442,468.317,2.87755,0.0104853,0.00972774,0.00972774
4,846.62,0.67535,0.55747,0.99249,0.04662,0.27179,0.02382,0.00638,3.5513,18.4173,9.43543,0.009703,0.009703,0.009703
5,1261.44,0.61602,0.51193,0.97023,0.07307,0.32308,0.06564,0.02642,3.09143,12.5455,6.00644,0.009604,0.009604,0.009604
6,1507.95,0.56246,0.45183,0.94039,0.88931,0.98883,0.96635,0.85034,0.48291,0.56526,0.87778,0.009505,0.009505,0.009505
7,1697.85,0.54036,0.42557,0.93392,0.0374,0.14586,0.01552,0.00339,3.4935,6.50617,5.0556,0.009406,0.009406,0.009406
8,1857.64,0.54158,0.41843,0.93802,0.11876,0.16923,0.06848,0.02695,3.31263,5.51327,4.90331,0.009307,0.009307,0.009307
9,2066.85,0.51039,0.39696,0.9251,0.62406,0.22134,0.23772,0.08696,3.0796,5.86617,4.20041,0.009208,0.009208,0.009208
10,2263.63,0.48908,0.38795,0.92245,0.839,0.82564,0.85375,0.70236,0.6063,1.30882,1.00189,0.009109,0.009109,0.009109
11,2448.64,0.50409,0.41283,0.9264,0.97379,1,0.98091,0.90578,0.42917,1.67756,0.86123,0.00901,0.00901,0.00901
12,2742.41,0.46018,0.37986,0.91962,0.97274,1,0.9762,0.93369,0.36788,0.62522,0.81001,0.008911,0.008911,0.008911
13,2916.66,0.44657,0.37719,0.91542,0.97452,1,0.97781,0.9225,0.30844,0.34535,0.78155,0.008812,0.008812,0.008812
14,3121.54,0.42951,0.35455,0.91135,0.92835,0.91282,0.92625,0.76179,0.69822,0.58667,1.02459,0.008713,0.008713,0.008713
15,3334.13,0.45427,0.36145,0.90681,0.09119,0.21026,0.06943,0.02081,3.63743,7.6313,5.31822,0.008614,0.008614,0.008614
